гЮ╨ё╥ж╡Ц1212	x	y	╨Я╤х	╬╝╨е
B-K32	16339539.9	4215517.4	12.7	с╒йт8-1
B-K32	16339833.5	4215789.1	21.66	с╒йт9-1
B-K33	16339925.3	4215416.1	11.12	и╟40
B-K33	16339152.5	4216069.9	10.6	с╒11-2
B-K33	16339315.6	4216264.7	11.22	с╒╤╚102
B-K33	16340029.6	4214955.6	6.9	с╒╤╚116
B-K33	16339681.1	4215662.9	8.74	с╒йт10-1
B-K33	16340734	4214085.6	5.2	с╒йт1-1
B-K33	16339803	4215534.3	8.92	с╒йт11-1
B-K33	16339641.8	4215407.8	10.1	с╒йт12-1
B-K33	16339557.9	4215800.4	21.28	с╒йт13-1
B-K33	16339958.1	4215661.3	12.36	с╒йт14-1
B-K33	16339778.4	4215283.9	8.1	с╒йт15-1
B-K33	16340030.5	4215206.9	3	с╒йт2-1
B-K33	16339539.9	4215517.4	5.52	с╒йт8-1
B-K33	16339833.5	4215789.1	7.8	с╒йт9-1
B-K34	16339925.3	4215416.1	15.76	и╟40
B-K34	16339152.5	4216069.9	20.88	с╒11-2
B-K34	16339315.6	4216264.7	12.58	с╒╤╚102
B-K34	16340029.6	4214955.6	13.78	с╒╤╚116
B-K34	16339681.1	4215662.9	5.2	с╒йт10-1
B-K34	16340734	4214085.6	10.08	с╒йт1-1
B-K34	16339803	4215534.3	2.74	с╒йт11-1
B-K34	16339641.8	4215407.8	6.96	с╒йт12-1
B-K34	16339557.9	4215800.4	9.26	с╒йт13-1
B-K34	16339958.1	4215661.3	10.42	с╒йт14-1
B-K34	16339778.4	4215283.9	8	с╒йт15-1
B-K34	16340030.5	4215206.9	4.7	с╒йт2-1
B-K34	16339539.9	4215517.4	5.8	с╒йт8-1
B-K34	16339833.5	4215789.1	5.3	с╒йт9-1
B-K35	16339925.3	4215416.1	13.52	и╟40
B-K35	16339152.5	4216069.9	16.8	с╒11-2
B-K35	16339315.6	4216264.7	24.06	с╒╤╚102
B-K35	16339209.1	4216681.3	15	с╒╤╚112
B-K35	16341465.4	4213454.4	1.7	с╒╤╚114
B-K35	16340029.6	4214955.6	14.5	с╒╤╚116
B-K35	16339681.1	4215662.9	17.72	с╒йт10-1
B-K35	16340734	4214085.6	16.46	с╒йт1-1
B-K35	16339803	4215534.3	12.92	с╒йт11-1
B-K35	16339641.8	4215407.8	13.8	с╒йт12-1
B-K35	16339557.9	4215800.4	28.5	с╒йт13-1
B-K35	16339958.1	4215661.3	18.54	с╒йт14-1
B-K35	16339778.4	4215283.9	16.28	с╒йт15-1
B-K35	16340030.5	4215206.9	4.16	с╒йт2-1
B-K35	16341127.5	4214020.6	3.1	с╒йт6-1
B-K35	16339539.9	4215517.4	5.52	с╒йт8-1
B-K35	16339833.5	4215789.1	14.92	с╒йт9-1
B-K36	16339925.3	4215416.1	7.76	и╟40
