¾®ºÅ	ÈÕÆÚ	¾®¶Î¶¥	¾®¶Îµ×
L10-2036	198407	1173.6	1174.2
L10-2036	198407	1186	1187
L10-2036	198407	1189.6	1190.4
L10-2036	198407	1194.1	1194.7
L10-2036	198407	1197	1198.2
L10-2036	198407	1198.6	1199.4
L10-2066	198408	1115.6	1119
L10-2066	198408	1121.2	1122
L10-2066	198408	1122.7	1123.3
L10-2066	198408	1127.8	1134.1
L10-2066	198408	1135.6	1139.6
L10-2066	198408	1144.4	1146.2
L10-2066	198408	1149	1149.6
L10-2066	198408	1169.6	1170.2
L10-2066	198408	1170.6	1172
L10-2066	198408	1181.5	1182.9
L10-2066	198408	1191	1193
L10-21	197404	962.8	963.7
L10-21	197404	974.5	975
L10-21	197404	975.4	975.8
L10-21	197404	976.6	977.1
L10-21	197404	979.6	980.2
L10-21	197404	997.4	1004.3
L10-21	197404	1005.3	1006.7
L10-21	197404	1008.6	1010.4
L10-21	197404	1011.4	1011.8
L10-21	197404	1012.7	1013.9
L10-21	197404	1015.6	1017.2
L10-21	197404	1017.6	1019.6
L10-21	197404	1024.2	1036.1
L10-21	197404	1047.6	1048.1
L10-21	197404	1056	1060
L10-21	197404	1066.2	1069.4
L10-21	197404	1071.8	1072.8
L10-21	197404	1073.3	1074.8
L10-21	197404	1078.5	1079.2
L10-21	197404	1083.3	1084.8
L10-21	197404	1085.5	1085.9
L10-21	197404	1087.8	1093.2
L10-21	197404	1094.7	1100.4
L10-21	197404	1109.7	1110.3
L10-21	197404	1117	1119
L10-21	197404	1119.9	1120.8
L10-21	197404	1127.4	1132.4
L10-21	197404	1135.9	1136.5
L10-21	197404	1137.2	1137.8
L10-21	197404	1138.5	1139.8
L10-21	197404	1156.9	1157.4
L10-21	197404	1159.6	1160.4
L10-21	197404	1165.5	1167
L10-21	197404	1167.4	1169.4
L10-21	197404	1170	1178.4
L10-21	197404	1181.2	1183
L10-21	197404	1185.3	1185.8
L10-21	197404	1187.6	1188
L10-21	197404	1191.7	1192.3
L10-21	197404	1193.2	1195
L10-2101	199306	1158.6	1159.1
L10-2101	199306	1161.4	1161.7
L10-2101	199306	1162	1164.6
L10-2101	199306	1162.8	1163
L10-2101	199306	1163.4	1163.6
L10-2101	199306	1163.5	1163.7
L10-2101	199306	1164.3	1164.5
L10-2101	199306	1165.4	1166
L10-2101	199306	1165.7	1165.9
L10-2101	199306	1166.7	1166.9
L10-2101	199306	1169.3	1171.4
L10-2101	199306	1183.8	1184.6
L10-2101	199306	1185.2	1187.6
L10-2101	199306	1188.3	1188.7
L10-2101	199306	1189	1190
L10-2101	199306	1190.6	1192.7
L10-2102	199304	987.1	987.5
L10-2102	199304	988.2	992.3
L10-2102	199304	993	994.4
L10-2102	199304	994.9	996
L10-2102	199304	1045	1052.6
L10-2102	199304	1164.2	1166
L10-2102	199304	1167.5	1167.9
L10-2102	199304	1168.3	1168.7
L10-2102	199304	1169	1170.6
L10-2102	199304	1172.8	1178.6
L10-2102	199304	1179	1179.8
L10-2102	199304	1183.4	1185.6
L10-2102	199304	1186.4	1188.4
L10-2102	199304	1188.8	1190
L10-213	197404	962.3	962.9
L10-213	197404	963.5	964.1
L10-213	197404	968.1	968.5
L10-213	197404	969.4	970.6
L10-213	197404	971.1	971.8
L10-213	197404	972.8	975.3
L10-213	197404	975.7	976.3
L10-213	197404	977.3	977.8
L10-213	197404	978.5	978.9
L10-213	197404	979.6	980.2
L10-213	197404	995.5	996.1
L10-213	197404	996.6	997.2
L10-213	197404	997.6	1001.8
L10-213	197404	1003	1008
L10-213	197404	1010.2	1010.7
L10-213	197404	1018.4	1022
L10-213	197404	1023.8	1026.4
L10-213	197404	1044.1	1049
L10-213	197404	1052.7	1053.2
L10-213	197404	1064.6	1065.9
L10-213	197404	1066.6	1068
L10-213	197404	1072	1073.3
L10-213	197404	1075.6	1078.4
L10-213	197404	1101.4	1102.8
L10-213	197404	1110.5	1111.1
L10-213	197404	1115.2	1116
L10-213	197404	1117.9	1119
L10-213	197404	1121.6	1128.4
L10-213	197404	1129.7	1130.3
L10-213	197404	1133	1133.8
L10-213	197404	1134.7	1137
L10-213	197404	1138	1139.2
L10-213	197404	1148.9	1150.7
L10-213	197404	1152.9	1153.3
L10-213	197404	1155.7	1156.9
L10-213	197404	1158	1158.6
L10-213	197404	1159	1159.7
L10-213	197404	1160.4	1161
L10-213	197404	1164.2	1170
L10-213	197404	1170.4	1170.9
L10-213	197404	1171.5	1172.4
L10-213	197404	1177.8	1180
L10-213	197404	1180.9	1182.1
L10-213	197404	1183.9	1184.5
L10-213	197404	1185.4	1188.2
L10-213	197404	1190.2	1191
L10-213	197404	1191.6	1195.4
L10-213	197404	1198.3	1198.8
L10-213	197404	1199.2	1199.7
L10-213	197404	1054.2	1060.1
L10-2131	199305	1156.4	1156.8
L10-2131	199305	1158.4	1164.4
L10-2131	199305	1164.9	1165.3
L10-2131	199305	1167.3	1168
L10-2131	199305	1168.4	1169
L10-2131	199305	1181.8	1187.2
L10-2131	199305	1187.7	1188.2
L10-2131	199305	1189.2	1189.6
L10-2131	199305	1190	1191
L10-2131	199305	1193.4	1195.1
L10-2131	199305	1195.4	1196.1
L10-2131	199305	1196.8	1198.4
L10-2132	199305	974.5	976.2
L10-2132	199305	976.5	977.8
L10-2132	199305	982.6	983.4
L10-2132	199305	986.7	988.7
L10-2132	199305	989	993.6
L10-2132	199305	1046.4	1052
L10-2132	199305	1162.8	1168
L10-2132	199305	1169.9	1170.3
L10-2132	199305	1171.2	1173.6
L10-2132	199305	1174.2	1175
L10-2132	199305	1177.8	1182.2
L10-2135	198308	1077.6	1079.2
L10-2135	198308	1080.1	1080.7
L10-2135	198308	1081.4	1083.5
L10-2135	198308	1085	1087.9
L10-2135	198308	1089.4	1093.4
L10-2136	198404	1102.2	1103.6
L10-2136	198404	1113.5	1114.1
L10-2136	198404	1115.8	1116.4
L10-2136	198404	1118.4	1119.2
L10-2136	198404	1119.6	1120.6
L10-2136	198404	1130.6	1131.6
L10-2136	198404	1134.8	1140.2
L10-2136	198404	1148.8	1149.8
L10-2136	198404	1151.8	1152.4
L10-2136	198404	1157.3	1157.7
L10-2136	198404	1159	1160.8
L10-2136	198404	1165	1173.6
L10-2136	198404	1174	1175.6
L10-2136	198404	1176.5	1177.1
L10-2136	198404	1177.9	1178.5
L10-2136	198404	1187.8	1189.4
L10-2136	198404	1193.8	1196
L10-2136	198404	1198	1198.6
L10-2136	198404	1199	1200.2
L10-2136	199109	1110.1	1111.4
L10-2136	199109	1122.8	1129
L10-2136	199109	1152.9	1153.3
L10-2136	199109	1153.5	1155
L10-2136	199109	1161.4	1162.9
L10-2136	199109	1180.3	1180.7
L10-2136	199109	1182.2	1184
L10-2136	199109	1185.1	1186.2
L10-2166	198404	1113.6	1115.4
L10-2166	198404	1116.6	1118
L10-2166	198404	1118.8	1122.4
L10-2166	198404	1128	1132.6
L10-2166	198404	1134.6	1137.8
L10-2166	198404	1140.2	1142
L10-2166	198404	1142.6	1144.4
L10-2166	198404	1146	1147.2
L10-2166	198404	1153.6	1154.4
L10-2166	198404	1155.6	1157
L10-2166	198404	1159.9	1160.3
L10-2166	198404	1162.2	1163.4
L10-2166	198404	1164	1165.6
L10-2166	198404	1167	1169
L10-2166	198404	1169.9	1170.5
L10-2166	198404	1173	1173.6
L10-2166	198404	1176.1	1176.7
L10-2166	198404	1178.9	1179.5
L10-2166	198404	1180.2	1181.8
