井名	层名	顶深(md)	底深(md)	层厚（m）	砂岩厚度（m）	有效厚度（m）	砂地比	解释砂层个数	解释油层个数	加权孔隙度(%)	加权渗透率(md)	突进系数Tk	渗透率级差Jk	变异系数Vk
y7-4-A6	B-K211	1166	1206	40	20.8	16.2	0.52	8	8	18.01	146.32	1.56	11.34	1.18
y7-4-A6	B-K212	1206	1270	64	28.9	22.05	0.45	9	9	18.8	84.42	1.55	3.06	0.95
y5-4-B2	B-K211	1149	1180	31	4.7	3.85	0.15	3	3	6.58	65.9	1	1	0
y5-6-A3	B-K211	1134	1200	66	20.2	15.9	0.31	8	8	17.75	85.98	2.66	16.02	2.12
y5-6-A3	B-K212	1200	1272	72	37.8	33.8	0.53	14	14	13.61	60.9	2.63	5.92	2.21
y31-4-B4	B-K211	1188	1221	33	11.8	11.8	0.36	5	5	18.95	120.99	1.95	4.68	1.22
y31-4-B4	B-K212	1221	1291	70	29	24.5	0.41	15	15	16.42	90.51	2.25	13.13	2.04
y11-4-B4	B-K211	1179	1222	43	19.8	6.35	0.46	7	7	17.02	120.29	1.49	4.02	1.18
y11-4-B4	B-K212	1222	1278	56	27.5	18.65	0.49	9	9	17.29	83.93	1.79	6.38	1.15
y5-6-B2	B-K211	1140	1190	50	13.6	13.6	0.27	6	6	13.79	161.74	1.25	2.21	0.53
y7-4-B4	B-K211	1165	1205	40	20.4	10.2	0.51	4	4	17.71	289.3	1.26	1.72	0.37
y7-4-B4	B-K212	1205	1267	62	28.6	19.65	0.46	10	10	18.21	182.23	1.49	5.63	1.1
y3-4-B3	B-K211	1130	1166	36	17.2	17.2	0.48	5	5	16.07	58.36	1.21	1.65	0.42
y3-4-B3	B-K212	1166	1227	61	27.9	23.1	0.46	15	15	16.25	43.49	1.57	19.26	1.69
y7-2-B2	B-K211	1174	1210	36	12.1	6.7	0.34	4	4	10.69	15.21	1.39	3.79	0.82
y1-4-A5	B-K211	1124	1162	38	13.4	12	0.35	5	5	19.37	134.92	1.37	1.8	0.45
y1-4-A5	B-K212	1162	1222	60	23.3	18.8	0.39	9	9	17.6	89.77	1.48	4.12	0.88
y9-6-A3	B-K211	1192	1214	22	7.9	5	0.36	2	2	6.97	36.21	1.16	1.38	0.23
y5-2-B6	B-K211	1151	1184	33	17	15.7	0.52	6	6	16.49	138.12	1.21	1.6	0.45
y5-2-B6	B-K212	1184	1237	53	22.3	15.05	0.42	9	9	20.65	147.43	1.63	3.39	1.05
y11-4-A5	B-K211	1181	1223	42	15.3	4.7	0.36	9	9	20.08	168.9	1.68	3.62	1.16
y11-4-A5	B-K212	1223	1281	58	28.7	17.2	0.49	10	10	20.4	131.16	1.54	3.02	1.13
y1-4-B4	B-K211	1124	1162	38	14.2	12.9	0.37	5	5	14.5	147.38	1.27	1.88	0.46
y1-4-B4	B-K212	1162	1221	59	24	20.05	0.41	9	9	19.53	175.65	1.37	3.09	0.81
y7-4-B3	B-K211	1164	1205	41	22.8	15.15	0.56	7	7	18.14	65.33	1.33	5.81	0.9
y7-4-B3	B-K212	1205	1266	61	31.1	24.75	0.51	11	11	16.35	43.84	1.69	4.25	1.37
y9-4-A5	B-K211	1177	1217	40	20	13.15	0.5	8	8	14.56	129.04	1.65	4.06	1.11
y9-4-A5	B-K212	1217	1277	60	23.5	15.5	0.39	13	13	11.17	70.77	2.42	5.95	2.13
y5-2-B5	B-K211	1151	1184	33	30	30	0.91	12	12	19.45	223.53	1.6	2.97	1.29
y5-2-B5	B-K212	1184	1237	53	38.6	27.7	0.73	22	22	15.44	58.55	1.93	7.83	2.11
y9-6-A2	B-K211	1194	1216	22	8.7	8.7	0.4	4	4	18.66	107.19	1.54	3.14	0.83
y1-4-B3	B-K211	1130	1169	39	17.4	11.5	0.45	7	7	19.62	116.76	1.58	4.57	1.21
y1-4-B3	B-K212	1169	1225	56	27	19.95	0.48	9	9	18.38	92.93	1.86	10.3	1.94
y7-4-B2	B-K211	1163	1210	47	18	9.9	0.38	5	5	14.35	170.89	1.33	6.95	0.94
y33-2-B5	B-K211	1018	1072	54	22.4	13.15	0.41	9	9	21.34	155.56	1.49	4.21	1.14
y33-2-B5	B-K212	1072	1138	66	28.7	23.05	0.43	10	10	18.62	136.96	1.44	3.27	0.97
y5-2-B3	B-K211	1153	1187	34	16.8	14.7	0.49	6	6	14.78	191.17	1.67	9.34	1.17
y5-2-B3	B-K212	1187	1240	53	23.9	18.7	0.45	11	11	17.7	99.97	1.82	12.25	1.46
y31-2-A6	B-K211	1080	1119	39	21.4	21.4	0.55	6	6	23.89	122.58	1.3	1.62	0.4
y31-2-A6	B-K212	1119	1177	58	32	30.45	0.55	7	7	25.33	129.34	1.31	2	0.61
y33-4-A5	B-K211	1192	1228	36	11.6	9.4	0.32	5	5	19.14	81.34	1.87	3.58	1.05
y33-4-A5	B-K212	1228	1292	64	27	20.5	0.42	11	11	17.11	45.71	1.78	3.71	1.33
y31-2-B3	B-K211	1080	1121	41	16.9	16.45	0.41	9	9	20.95	125.56	1.62	7.31	1.18
y31-2-B3	B-K212	1121	1177	56	24.9	23.8	0.44	14	14	19.67	122.76	1.47	4.44	1.33
y31-2-B4	B-K211	1081	1121	40	25.3	22.9	0.63	8	8	10.21	126.14	1.26	1.53	0.35
y31-2-B4	B-K212	1121	1178	57	29.1	26.75	0.51	11	11	12.54	130.55	1.61	5.74	1.25
y9-4-B3	B-K211	1180	1219	39	20.2	14.1	0.52	8	8	17.51	117.06	1.39	2.42	0.58
y9-4-B3	B-K212	1219	1281	62	28.2	18.25	0.45	12	12	17.49	72.43	2.5	8.01	2.25
y3-1-B6	B-K212	810	872	62	39.4	1.75	0.64	14	14	20.06	143	1.95	6.21	2.15
y33-4-B4	B-K211	1188	1225	37	13.9	12	0.38	5	5	17.1	88.95	1.76	3.66	0.95
y33-4-B4	B-K212	1225	1288	63	26.4	19.55	0.42	13	13	19.77	84.72	3.01	5.22	2.2
y35-4-A6	B-K211	1140	1192	52	22.7	2.65	0.44	8	8	19.63	228.75	1.54	5.48	0.98
y35-4-A6	B-K212	1192	1260	68	22.3	0	0.33	6	6	18.53	145.06	1.34	1.69	0.48
y31-2-B2	B-K211	1078	1118	40	18.1	17.25	0.45	10	10	14.18	151.11	1.9	41.14	1.84
y31-2-B2	B-K212	1118	1130	12	0	0	0	0	0	0	0	0	0	0
y33-4-B3	B-K211	1182	1223	41	11.7	8.05	0.29	5	5	16.21	81.82	2	7.27	1.26
y33-4-B3	B-K212	1223	1286	63	28.2	20.9	0.45	9	9	18.44	59.87	2.04	4.31	1.43
y9-4-B2	B-K211	1175	1230	55	22.7	15.5	0.41	8	8	16.56	166.24	1.2	1.67	0.4
y32-2-A3	B-K211	1192	1236	44	22	14.8	0.5	8	8	15.47	52.45	1.87	11.75	1.66
y32-2-A3	B-K212	1236	1299	63	29.9	21.2	0.47	11	11	17.75	77.99	1.79	4.73	1.26
y33-4-B2	B-K211	1178	1215	37	12.3	6.7	0.33	4	4	20.01	146.23	2.19	45.05	1.82
y33-4-B2	B-K212	1215	1245	30	10.5	4.35	0.35	4	4	19.51	87.31	2.01	10.92	1.31
