jh	ny	scts	‘¬≤˙”Õ£®∂÷£©	‘¬≤˙ÀÆ(∂÷)	‘¬≤˙∆¯(ÕÚ∑Ω)	¿€≤˙”Õ(ÕÚ∂÷)	¿€≤˙ÀÆ(ÕÚ∂÷)	¿€≤˙∆¯(ÕÚ∑Ω)	Ã◊—π	”Õ—π	æ≤—π	¡˜—π
”¢ ‘6-1	201205	20.46	4.24 	72.05 	0.2057 	0.0024 	0.0122 	0.4547 	0.14	0.00	0.00	0.00
”¢ ‘8-1	201205	30.15	330.13 	14.99 	2.8525 	0.0655 	0.0089 	4.2885 	3.02	1.04	0.00	0.00
”¢ ‘9-1	201205	30.98	295.49 	8.77 	29.2332 	0.0698 	0.0076 	59.3949 	8.19	5.58	0.00	0.00
…∞37	201206	26.75	23.53 	1.08 	2.5079 	0.1588 	0.0455 	47.4259 	4.54	0.00	0.00	0.00
…∞40	201206	29.65	166.22 	19.02 	1.7666 	0.1947 	0.0109 	16.9706 	0.33	0.00	0.00	0.00
”¢∂´102	201206	29.67	116.03 	5.07 	0.4066 	0.1141 	0.0157 	1.2275 	0.32	0.00	0.00	0.00
”¢∂´104	201206	7.79	10.55 	20.74 	0.4852 	0.0011 	0.0021 	0.4852 	0.12	0.17	0.00	0.00
”¢∂´105	201206	0.67	0.00 	0.00 	0.0000 	0.0009 	0.0008 	0.0000 	0.04	0.00	0.00	0.00
”¢∂´107	201206	5.63	17.96 	47.72 	0.1449 	0.0018 	0.0048 	0.1449 	0.13	0.00	0.00	0.00
”¢ ‘1-1	201206	10.83	26.61 	2.93 	0.7524 	0.0457 	0.0133 	10.4677 	0.27	0.00	0.00	0.00
”¢ ‘1-2	201206	29.83	164.65 	10.39 	3.4952 	0.0953 	0.0236 	43.7213 	0.34	0.00	0.00	0.00
”¢ ‘1-3	201206	29.83	171.13 	12.98 	2.5785 	0.1866 	0.0163 	21.2750 	0.35	0.00	0.00	0.00
”¢ ‘1-4	201206	26.21	274.84 	15.65 	3.8436 	0.2234 	0.0246 	29.8359 	0.20	0.00	0.00	0.00
”¢ ‘10-1	201206	17.88	385.14 	29.30 	3.6982 	0.0385 	0.0029 	3.6982 	1.14	0.00	0.00	0.00
”¢ ‘11-1	201206	7.56	133.89 	20.71 	1.0162 	0.0134 	0.0021 	1.0162 	1.16	1.30	0.00	0.00
”¢ ‘12-1	201206	9.33	115.67 	36.50 	0.1073 	0.0116 	0.0037 	0.1073 	2.35	0.00	0.00	0.00
”¢ ‘2-1	201206	26.40	182.50 	79.74 	3.2983 	0.0183 	0.0080 	3.2983 	0.22	0.00	0.00	0.00
”¢ ‘2-2	201206	0.00	0.00 	0.00 	0.0000 	0.0035 	0.0033 	3.1025 	0.00	0.00	0.00	0.00
”¢ ‘2-3	201206	12.67	0.12 	12.85 	1.3200 	0.0010 	0.0044 	18.1856 	3.54	0.00	0.00	0.00
”¢ ‘2-4	201206	0.00	0.00 	0.00 	0.0000 	0.0068 	0.0024 	12.9762 	0.00	0.00	0.00	0.00
”¢ ‘2-5	201206	0.00	0.00 	0.00 	0.0000 	0.0090 	0.0041 	37.3258 	0.00	0.00	0.00	0.00
”¢ ‘3-1	201206	30.00	0.00 	0.00 	7.3101 	0.0045 	0.0019 	33.5583 	1.70	1.84	0.00	0.00
”¢ ‘4-1	201206	25.01	13.38 	76.41 	0.4286 	0.0027 	0.0114 	0.5729 	0.22	0.00	0.00	0.00
”¢ ‘4-2	201206	0.00	0.00 	0.00 	0.0000 	0.0029 	0.0220 	0.5729 	0.00	0.00	0.00	0.00
”¢ ‘4-3	201206	17.40	194.91 	36.96 	0.6561 	0.0925 	0.0419 	3.3346 	0.46	0.00	0.00	0.00
”¢ ‘6-1	201206	29.83	3.26 	18.22 	0.0000 	0.0027 	0.0140 	0.4547 	0.16	0.00	0.00	0.00
”¢ ‘8-1	201206	30.00	259.52 	9.35 	4.9808 	0.0914 	0.0098 	9.2693 	5.31	0.90	0.00	0.00
”¢ ‘9-1	201206	29.42	312.66 	31.49 	25.9690 	0.1011 	0.0107 	85.3639 	6.60	4.60	0.00	0.00
…∞37	201207	10.21	12.66 	43.75 	0.7421 	0.1601 	0.0498 	48.1680 	3.48	0.00	0	0
…∞40	201207	28.46	197.07 	22.65 	1.6941 	0.2144 	0.0132 	18.6647 	0.42	0.00	0	0
”¢∂´102	201207	27.13	114.74 	4.68 	1.5846 	0.1256 	0.0162 	2.8121 	0.47	0.00	0	0
”¢∂´104	201207	30.58	20.21 	155.40 	1.8745 	0.0031 	0.0176 	2.3597 	0.34	0.00	0	0
”¢∂´105	201207	3.29	0.13 	6.16 	0.0000 	0.0009 	0.0015 	0.0000 	0.00	0.00	0	0
”¢∂´107	201207	22.54	152.40 	8.82 	1.1465 	0.0170 	0.0057 	1.2914 	0.37	0.00	0	0
”¢ ‘1-1	201207	25.40	60.22 	7.25 	2.0073 	0.0517 	0.0141 	12.4750 	0.24	0.00	0	0
”¢ ‘1-2	201207	14.94	89.09 	7.41 	0.7398 	0.1042 	0.0243 	44.4611 	0.53	0.00	0	0
”¢ ‘1-3	201207	30.75	276.35 	9.27 	2.9177 	0.2142 	0.0172 	24.1927 	0.27	0.00	0	0
”¢ ‘1-4	201207	3.63	16.79 	2.15 	0.2981 	0.2251 	0.0248 	30.1340 	1.44	0.00	0	0
”¢ ‘10-1	201207	24.04	374.65 	13.74 	3.9805 	0.0760 	0.0043 	7.6787 	2.03	0.00	0	0
”¢ ‘11-1	201207	18.50	227.78 	5.53 	1.9266 	0.0362 	0.0026 	2.9428 	1.83	0.85	0	0
”¢ ‘12-1	201207	18.00	199.63 	2.74 	0.3012 	0.0315 	0.0039 	0.4085 	4.83	0.52	0	0
”¢ ‘14-1	201207	5.65	2.35 	27.57 	4.1929 	0.0002 	0.0028 	4.1929 	4.93	8.20	0	0
”¢ ‘2-1	201207	30.58	107.08 	15.19 	4.2273 	0.0290 	0.0095 	7.5256 	0.27	0.00	0	0
”¢ ‘2-2	201207	0.00	0.00 	0.00 	0.0000 	0.0035 	0.0033 	3.1025 	0.00	0.00	0	0
”¢ ‘2-3	201207	0.00	0.00 	0.00 	0.0000 	0.0010 	0.0044 	18.1856 	0.00	0.00	0	0
”¢ ‘2-4	201207	0.00	0.00 	0.00 	0.0000 	0.0068 	0.0024 	12.9762 	0.00	0.00	0	0
”¢ ‘2-5	201207	0.00	0.00 	0.00 	0.0000 	0.0090 	0.0041 	37.3258 	0.00	0.00	0	0
”¢ ‘3-1	201207	17.42	11.22 	0.00 	4.6086 	0.0056 	0.0019 	38.1669 	1.94	1.87	0	0
”¢ ‘4-1	201207	4.00	0.58 	13.03 	0.0358 	0.0028 	0.0127 	0.6087 	0.22	0.00	0	0
”¢ ‘4-2	201207	0.00	0.00 	0.00 	0.0000 	0.0029 	0.0220 	0.5729 	0.00	0.00	0	0
”¢ ‘4-3	201207	30.38	324.22 	42.07 	1.8652 	0.1249 	0.0461 	5.1998 	0.44	0.00	0	0
”¢ ‘6-1	201207	5.29	0.16 	6.54 	0.0000 	0.0027 	0.0146 	0.4547 	0.75	0.00	0	0
”¢ ‘8-1	201207	31.00	367.37 	12.62 	8.2506 	0.1282 	0.0110 	17.5199 	3.94	1.44	0	0
”¢ ‘9-1	201207	29.96	445.90 	34.25 	0.0026 	0.1457 	0.0141 	85.3665 	6.78	4.30	0	0
…∞37	201208	29.50	91.88 	29.70 	2.9737 	0.1693 	0.0528 	51.1417 	0.65	0.00	0	0
…∞40	201208	0.00	0.00 	0.00 	0.0000 	0.2144 	0.0132 	18.6647 	0.00	0.00	0	0
”¢∂´102	201208	30.65	118.12 	3.68 	1.0844 	0.1374 	0.0166 	3.8965 	0.46	0.00	0	0
”¢∂´104	201208	22.92	28.14 	7.63 	1.4006 	0.0059 	0.0184 	3.7603 	0.26	0.00	0	0
”¢∂´105	201208	2.75	0.69 	0.00 	0.0000 	0.0010 	0.0015 	0.0000 	5.30	0.00	0	0
”¢∂´107	201208	30.65	224.53 	10.95 	1.8021 	0.0395 	0.0067 	3.0935 	0.31	0.00	0	0
”¢ ‘1-1	201208	18.17	28.66 	61.88 	6.6781 	0.0546 	0.0203 	19.1531 	0.21	0.00	0	0
”¢ ‘1-2	201208	30.56	188.37 	23.91 	1.8715 	0.1230 	0.0267 	46.3326 	0.52	0.00	0	0
”¢ ‘1-3	201208	30.52	225.29 	8.20 	2.7608 	0.2368 	0.0180 	26.9535 	0.15	0.00	0	0
”¢ ‘1-4	201208	29.42	190.16 	15.39 	2.7873 	0.2441 	0.0263 	32.9213 	0.33	0.00	0	0
”¢ ‘11-1	201208	29.42	369.85 	21.44 	3.0024 	0.0732 	0.0048 	5.9452 	3.84	1.18	0	0
”¢ ‘12-1	201208	31.00	269.58 	6.62 	2.0359 	0.0585 	0.0046 	2.4444 	5.21	0.76	0	0
”¢ ‘13-1	201208	3.83	33.09 	39.13 	0.0000 	0.0033 	0.0039 	0.0000 	0.75	0.00	0	0
”¢ ‘14-1	201208	30.65	52.58 	20.67 	39.6201 	0.0055 	0.0049 	43.8130 	6.08	3.31	0	0
”¢ ‘2-1	201208	30.68	83.80 	3.00 	4.9296 	0.0373 	0.0098 	12.4552 	0.25	0.00	0	0
”¢ ‘2-2	201208	0.00	0.00 	0.00 	0.0000 	0.0035 	0.0033 	3.1025 	0.00	0.00	0	0
”¢ ‘2-3	201208	0.00	0.00 	0.00 	0.0000 	0.0010 	0.0044 	18.1856 	0.00	0.00	0	0
”¢ ‘2-4	201208	0.00	0.00 	0.00 	0.0000 	0.0068 	0.0024 	12.9762 	0.00	0.00	0	0
”¢ ‘2-5	201208	0.00	0.00 	0.00 	0.0000 	0.0090 	0.0041 	37.3258 	0.00	0.00	0	0
”¢ ‘3-1	201208	0.00	0.00 	0.00 	0.0000 	0.0056 	0.0019 	38.1669 	0.00	0.00	0	0
”¢ ‘4-1	201208	0.00	0.00 	0.00 	0.0000 	0.0028 	0.0127 	0.6087 	0.00	0.00	0	0
”¢ ‘4-3	201208	30.73	368.92 	76.40 	2.1538 	0.1618 	0.0537 	7.3536 	0.22	0.00	0	0
