jh	ny	scts	‘¬≤˙”Õ£®∂÷£©	‘¬≤˙ÀÆ(∂÷)	‘¬≤˙∆¯(ÕÚ∑Ω)	¿€≤˙”Õ(ÕÚ∂÷)	¿€≤˙ÀÆ(ÕÚ∂÷)	¿€≤˙∆¯(ÕÚ∑Ω)	Ã◊—π	”Õ—π	æ≤—π	¡˜—π
”¢ ‘1-2	201305	30.04	80.80	9.06	4.3222 	0.2562	0.0431	80.0606	0.52	0.00	0.00	0.00
”¢ ‘1-3	201305	30.33	159.07	8.26	4.3216 	0.4074	0.0321	60.8388	0.52	0.00	0.00	0.00
”¢ ‘1-4	201305	30.33	61.43	90.17	4.3549 	0.3304	0.0966	65.2179	0.53	0.00	0.00	0.00
”¢ ‘11-1	201305	26.08	465.84	16.98	4.7033 	0.4736	0.0131	50.8279	0.98	0.00	0.00	0.00
”¢ ‘12-1	201305	0.00	0.00	0.00	0.0000 	0.2199	0.0091	28.4662	0.00	0.00	0.00	0.00
”¢ ‘13-1	201305	29.98	420.85	5.07	9.1506 	0.1922	0.0080	43.4134	1.07	0.00	0.00	0.00
”¢ ‘14-1	201305	15.00	0.00	0.00	0.0000 	0.0161	0.0069	60.0352	0.00	0.00	0.00	0.00
”¢ ‘15-1	201305	0.00	0.00	0.00	0.0000 	0.0972	0.0079	64.1604	0.00	0.00	0.00	0.00
”¢ ‘2-1	201305	16.85	20.66	0.50	2.4882 	0.1147	0.0236	42.0994	0.54	0.00	0.00	0.00
”¢ ‘2-2	201305	8.48	1.43	0.19	0.5556 	0.1128	0.0235	40.1668	0.53	0.00	0.00	0.00
”¢ ‘2-3	201305	0.00	0.00	0.00	0.0000 	0.0038	0.0055	29.7984	0.00	0.00	0.00	0.00
”¢ ‘2-4	201305	28.29	423.61	37.34	15.5117 	0.2839	0.0237	73.7626	4.49	2.66	0.00	0.00
”¢ ‘2-5	201305	0.00	0.00	0.00	0.0000 	0.0106	0.0079	43.5245	0.00	0.00	0.00	0.00
”¢ ‘3-1	201305	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	0.00	0.00	0.00	0.00
”¢ ‘4-3	201305	29.77	261.47	100.31	5.8158 	0.3956	0.1525	46.3386	0.67	0.00	0.00	0.00
”¢ ‘6-1	201305	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201305	8.65	98.55	1.20	1.4597 	0.4105	0.0164	77.0860	1.12	0.00	0.00	0.00
”¢ ‘9-1	201305	30.21	401.30	13.53	11.8094 	0.3576	0.0199	206.6264	2.00	3.20	0.00	0.00
…∞37	201306	29.46	249.59	10.60	17.1906 	0.2452	0.0832	107.5187	0.55	0.00	0.00	0.00
…∞41	201306	29.48	0.74	29.29	0.9813 	0.0007	0.0108	1.8038	0.22	0.00	0.00	0.00
”¢1-1-B2	201306	27.65	127.99	2.92	3.3549 	0.0128	0.0003	3.3549	0.89	0.00	0.00	0.00
”¢1-1-B3	201306	29.65	462.09	19.03	9.0316 	0.0768	0.0033	13.2693	0.92	0.00	0.00	0.00
”¢1-1-B5	201306	29.65	435.91	56.65	16.6045 	0.0558	0.0070	24.7625	1.02	0.00	0.00	0.00
”¢11-2	201306	29.04	190.90	5.09	3.9671 	0.0476	0.0049	8.1057	0.46	0.00	0.00	0.00
”¢11-2-B4	201306	29.04	30.98	1.17	3.1118 	0.0238	0.0012	6.3579	0.45	0.00	0.00	0.00
”¢11-6-A1	201306	29.35	344.89	10.64	3.4106 	0.0697	0.0018	6.8978	1.68	0.00	0.00	0.00
”¢11-6-A4	201306	29.35	386.49	11.21	3.9276 	0.0828	0.0017	7.2918	3.67	0.00	0.00	0.00
”¢11-6-A6	201306	29.35	421.52	12.35	3.3447 	0.0824	0.0017	6.5660	4.14	0.00	0.00	0.00
”¢13-1-B4	201306	28.79	229.34	8.94	3.4422 	0.0391	0.0028	5.0352	0.45	0.00	0.00	0.00
”¢13-1-B5	201306	28.79	304.86	11.19	3.7978 	0.0496	0.0019	5.2960	0.46	0.00	0.00	0.00
”¢13-1-B6	201306	28.92	384.86	12.20	4.7450 	0.0557	0.0017	6.4610	3.72	1.14	0.00	0.00
”¢13-2-A6	201306	22.71	149.77	15.65	0.5198 	0.0150	0.0016	0.5198	0.40	0.00	0.00	0.00
”¢13-6-A5	201306	0.00	0.00	0.00	0.0000 	0.0076	0.0007	0.2422	0.00	0.00	0.00	0.00
”¢15-2	201306	0.00	0.00	0.00	0.0000 	0.0002	0.0001	0.0092	0.00	0.00	0.00	0.00
”¢19-1	201306	22.75	50.56	90.15	2.2967 	0.0093	0.0115	3.4289	0.31	0.00	0.00	0.00
”¢3-3-B5	201306	0.00	0.00	0.00	0.0000 	0.0045	0.0007	13.4145	0.00	0.00	0.00	0.00
”¢3-3-B6	201306	0.00	0.00	0.00	0.0000 	0.0470	0.0018	31.7254	0.00	0.00	0.00	0.00
”¢5-1-B2	201306	10.00	2.61	125.41	1.4342 	0.0003	0.0125	1.4342	0.87	0.00	0.00	0.00
”¢5-1-B3	201306	22.06	461.53	10.19	3.7736 	0.0613	0.0015	4.3272	0.87	0.00	0.00	0.00
”¢5-1-B5	201306	29.06	362.72	21.86	5.7645 	0.0382	0.0022	6.5273	0.85	0.00	0.00	0.00
”¢5-1-B6	201306	25.65	416.15	21.21	3.9264 	0.0435	0.0022	4.6892	0.87	0.00	0.00	0.00
”¢5-3-B5	201306	0.00	0.00	0.00	0.0000 	0.0022	0.0000	1.7763	0.00	0.00	0.00	0.00
”¢5-3-B6	201306	0.00	0.00	0.00	0.0000 	0.0000	0.0000	0.0000	0.00	0.00	0.00	0.00
”¢5-8-A3	201306	29.83	638.89	9.80	1.0783 	0.1556	0.0046	4.0040	4.80	1.55	0.00	0.00
”¢5-8-A4	201306	6.02	135.52	8.49	0.5287 	0.1081	0.0045	9.8791	3.21	0.75	0.00	0.00
”¢7-1-B3	201306	29.40	389.60	9.22	4.5068 	0.0887	0.0017	16.4427	0.87	0.00	0.00	0.00
”¢7-1-B5	201306	29.40	329.98	5.98	3.8761 	0.0819	0.0017	13.8006	0.86	0.00	0.00	0.00
”¢7-1-B6	201306	29.79	325.34	7.89	11.3425 	0.0952	0.0021	22.5362	5.88	2.63	0.00	0.00
”¢7-6-A3	201306	18.50	135.69	11.25	2.4289 	0.0136	0.0011	2.4289	1.33	0.00	0.00	0.00
”¢7-6-A4	201306	3.92	25.77	4.97	0.4528 	0.0026	0.0005	0.4528	5.28	6.50	0.00	0.00
”¢7-6-A5	201306	19.04	136.68	18.26	2.5325 	0.0137	0.0018	2.5325	0.99	0.00	0.00	0.00
”¢7-6-B1	201306	18.50	320.70	20.54	2.2066 	0.0321	0.0021	2.2066	1.16	0.00	0.00	0.00
”¢7-6-B2	201306	19.04	250.13	8.44	1.8484 	0.0250	0.0008	1.8484	1.07	0.00	0.00	0.00
”¢7-6-B3	201306	19.04	49.33	8.02	2.0531 	0.0049	0.0008	2.0531	1.60	0.00	0.00	0.00
”¢7-8-A4	201306	29.31	252.42	16.22	4.6684 	0.0566	0.0034	6.7087	0.43	0.00	0.00	0.00
”¢9-1-B3	201306	29.65	266.73	68.11	3.9640 	0.0293	0.0069	4.2389	0.92	0.00	0.00	0.00
”¢9-1-B4	201306	29.65	389.15	10.10	4.1280 	0.0450	0.0012	4.7188	0.91	0.00	0.00	0.00
”¢9-1-B5	201306	29.65	217.54	6.01	3.9043 	0.0280	0.0009	4.5433	0.96	0.00	0.00	0.00
”¢9-1-B6	201306	29.65	185.93	18.46	3.5309 	0.0232	0.0023	3.9029	0.93	0.00	0.00	0.00
”¢9-2-A6	201306	29.35	238.51	7.89	2.9446 	0.0332	0.0010	3.6088	0.78	0.00	0.00	0.00
”¢9-2-B2	201306	29.19	277.79	9.51	3.2978 	0.0339	0.0011	3.9413	0.39	0.00	0.00	0.00
”¢9-2-B3	201306	24.52	241.23	9.46	2.4809 	0.0312	0.0015	3.2120	0.44	0.00	0.00	0.00
”¢9-2-B4	201306	30.00	292.07	9.74	3.2887 	0.0374	0.0013	4.0290	5.71	1.32	0.00	0.00
”¢9-2-B5	201306	29.35	415.95	15.84	3.4147 	0.0528	0.0019	4.1772	0.45	0.00	0.00	0.00
”¢9-3-B5	201306	29.33	44.17	3.29	6.5132 	0.0063	0.0005	7.8846	0.42	0.00	0.00	0.00
”¢9-3-B6	201306	30.00	206.08	6.40	8.5878 	0.0316	0.0009	10.5584	4.54	2.15	0.00	0.00
”¢∂´102	201306	0.00	0.00	0.00	0.0000 	0.2261	0.0273	8.5824	0.00	0.00	0.00	0.00
”¢∂´104	201306	0.00	0.00	0.00	0.0000 	0.0065	0.0200	6.1128	0.00	0.00	0.00	0.00
”¢∂´105	201306	29.29	507.47	10.44	6.4236 	0.5068	0.0257	50.0835	8.72	2.08	0.00	0.00
”¢∂´107	201306	0.00	0.00	0.00	0.0000 	0.0673	0.0100	5.5291	0.00	0.00	0.00	0.00
”¢∂´108	201306	0.79	0.00	0.00	0.0843 	0.0085	0.0253	4.8970	0.10	0.00	0.00	0.00
”¢∂´113	201306	0.00	0.00	0.00	0.0000 	0.0177	0.0025	5.6211	0.00	0.00	0.00	0.00
”¢∂´114	201306	20.21	0.00	0.00	0.6085 	0.0106	0.0422	10.6194	0.32	0.00	0.00	0.00
”¢∂´116	201306	7.21	50.18	0.59	0.3608 	0.0758	0.0065	10.4206	0.68	0.00	0.00	0.00
”¢∂´117	201306	0.00	0.00	0.00	0.0000 	0.1036	0.0053	15.2196	0.00	0.00	0.00	0.00
”¢ ‘1-1	201306	26.54	26.61	40.01	3.0972 	0.0928	0.0494	52.5546	0.57	0.00	0.00	0.00
”¢ ‘1-2	201306	29.50	84.78	3.04	3.4174 	0.2647	0.0434	83.4780	0.57	0.00	0.00	0.00
”¢ ‘1-3	201306	26.50	94.23	7.92	3.2197 	0.4168	0.0328	64.0585	0.57	0.00	0.00	0.00
”¢ ‘1-4	201306	29.50	54.74	97.52	3.5136 	0.3359	0.1063	68.7315	0.57	0.00	0.00	0.00
”¢ ‘11-1	201306	0.08	2.42	0.12	0.0325 	0.4738	0.0131	50.8604	0.00	0.00	0.00	0.00
”¢ ‘12-1	201306	0.00	0.00	0.00	0.0000 	0.2199	0.0091	28.4662	0.00	0.00	0.00	0.00
”¢ ‘13-1	201306	29.40	287.01	3.49	4.0267 	0.2209	0.0083	47.4401	0.85	0.00	0.00	0.00
”¢ ‘14-1	201306	1.83	0.73	3.74	0.2132 	0.0161	0.0073	60.2484	0.75	0.00	0.00	0.00
”¢ ‘15-1	201306	0.00	0.00	0.00	0.0000 	0.0972	0.0079	64.1604	0.00	0.00	0.00	0.00
”¢ ‘2-1	201306	0.00	0.00	0.00	0.0000 	0.1147	0.0236	42.0994	0.00	0.00	0.00	0.00
”¢ ‘2-2	201306	5.00	0.90	0.12	0.0990 	0.1129	0.0236	40.2658	0.28	0.00	0.00	0.00
”¢ ‘2-3	201306	0.00	0.00	0.00	0.0000 	0.0038	0.0055	29.7984	0.00	0.00	0.00	0.00
”¢ ‘2-4	201306	29.83	477.65	23.71	13.1328 	0.3316	0.0261	86.8954	4.54	2.16	0.00	0.00
”¢ ‘2-5	201306	0.00	0.00	0.00	0.0000 	0.0106	0.0079	43.5245	0.00	0.00	0.00	0.00
”¢ ‘3-1	201306	0.00	0.00	0.00	0.0000 	0.0056	0.0019	38.1669	0.00	0.00	0.00	0.00
”¢ ‘4-3	201306	20.21	49.08	375.64	1.3512 	0.4005	0.1901	47.6898	0.53	0.00	0.00	0.00
”¢ ‘6-1	201306	0.00	0.00	0.00	0.0000 	0.0029	0.0270	0.4568	0.00	0.00	0.00	0.00
”¢ ‘8-1	201306	0.00	0.00	0.00	0.0000 	0.4105	0.0164	77.0860	0.00	0.00	0.00	0.00
”¢ ‘9-1	201306	29.52	388.02	28.80	22.1144 	0.3964	0.0228	228.7408	1.35	0.00	0.00	0.00
…∞37	201307	30.94	229.68 	5.59 	11.2660 	0.2681	0.0837	118.7847	0.6	0	0	0
…∞41	201307	31	1.05 	27.06 	0.4546 	0.0008 	0.0135 	0.0002 	0.26	0	0	0
”¢1-1-B2	201307	8.08	30.41 	0.38 	1.0308 	0.0158 	0.0003 	0.0004 	0.76	0	0	0
”¢1-1-B3	201307	14.33	182.41 	21.85 	4.2333 	0.0950 	0.0055 	0.0018 	0.88	0	0	0
”¢1-1-B5	201307	19.27	250.92 	24.40 	8.5904 	0.0809 	0.0094 	0.0033 	1	0	0	0
”¢1-2-B1	201307	8.63	63.85 	17.68 	0.7206 	0.0064 	0.0018 	0.0001 	1.09	0	0	0
”¢1-2-B2	201307	8.63	42.28 	4.12 	0.7515 	0.0042 	0.0004 	0.0001 	1.11	0	0	0
”¢1-2-B3	201307	8.63	137.11 	9.91 	1.2790 	0.0137 	0.0010 	0.0001 	1.64	0	0	0
”¢1-2-B4	201307	7.67	114.58 	8.45 	3.0985 	0.0115 	0.0008 	0.0003 	1.19	0	0	0
”¢1-2-B5	201307	8.63	49.11 	10.34 	0.6184 	0.0049 	0.0010 	0.0001 	1.07	0	0	0
”¢1-6-A3	201307	23.42	412.96 	10.84 	4.6199 	0.0413 	0.0011 	0.0005 	1.41	0	0	0
”¢1-6-A4	201307	23.46	25.04 	5.31 	5.5492 	0.0025 	0.0005 	0.0006 	1.09	0	0	0
”¢1-6-A5	201307	15.23	1.43 	1.91 	6.4694 	0.0001 	0.0002 	0.0006 	3.25	1.2	0	0
”¢1-6-B1	201307	23.42	304.44 	12.59 	3.4879 	0.0304 	0.0013 	0.0003 	1.13	0	0	0
”¢1-6-B2	201307	20.04	203.53 	26.85 	3.1757 	0.0204 	0.0027 	0.0003 	1.21	0	0	0
”¢1-6-B3	201307	23.42	420.92 	14.79 	6.0143 	0.0421 	0.0015 	0.0006 	1.25	0	0	0
”¢11-1-B5	201307	16.06	122.63 	9.18 	2.0090 	0.0123 	0.0009 	0.0002 	0.41	0	0	0
”¢11-1-B6	201307	16.06	92.89 	21.29 	2.2042 	0.0093 	0.0021 	0.0002 	0.4	0	0	0
”¢11-2	201307	30.73	166.94 	2.53 	3.3947 	0.0643 	0.0052 	0.0012 	0.46	0	0	0
”¢11-2-B4	201307	28.77	31.89 	0.79 	2.7276 	0.0270 	0.0012 	0.0009 	0.43	0	0	0
”¢11-6-A1	201307	30.73	547.09 	13.26 	4.4363 	0.1245 	0.0032 	0.0011 	0.4	0	0	0
”¢11-6-A4	201307	30.73	471.37 	11.41 	4.3717 	0.1299 	0.0027 	0.0012 	0.57	0	0	0
”¢11-6-A6	201307	30.73	423.61 	5.06 	4.8088 	0.1249 	0.0022 	0.0011 	0.45	0	0	0
”¢13-1-B4	201307	30.94	188.23 	18.40 	3.3120 	0.0579 	0.0046 	0.0008 	0.4	0	0	0
”¢13-1-B5	201307	30.19	327.51 	20.91 	4.0776 	0.0825 	0.0040 	0.0009 	0.48	0	0	0
”¢13-1-B6	201307	30.94	419.61 	26.52 	4.9942 	0.0977 	0.0044 	0.0011 	0.5	0	0	0
”¢13-2-A6	201307	30.79	163.02 	8.32 	0.5215 	0.0313 	0.0024 	0.0001 	0.39	0	0	0
”¢13-6-A5	201307	11.71	61.06 	13.04 	1.0510 	0.0137 	0.0020 	0.0001 	2.68	0	0	0
”¢15-2	201307	0	0.00 	0.00 	0.0000 	0.0002 	0.0001 	0.0000 	0	0	0	0
”¢19-1	201307	29.13	68.81 	71.93 	3.2220 	0.0162 	0.0186 	0.0007 	0.46	0	0	0
”¢3-2-B1	201307	3.46	27.02 	7.15 	0.3900 	0.0027 	0.0007 	0.0000 	1.25	0	0	0
”¢3-2-B2	201307	3.46	27.83 	7.36 	0.4140 	0.0028 	0.0007 	0.0000 	1.43	0	0	0
”¢3-2-B3	201307	3.46	28.58 	7.60 	0.4200 	0.0029 	0.0008 	0.0000 	1.25	0	0	0
”¢3-2-B6	201307	3.46	21.73 	5.83 	0.5100 	0.0022 	0.0006 	0.0001 	4.68	5	0	0
”¢3-3-B5	201307	0	0.00 	0.00 	0.0000 	0.0045 	0.0007 	0.0013 	0	0	0	0
”¢3-3-B6	201307	0	0.00 	0.00 	0.0000 	0.0470 	0.0018 	0.0032 	0	0	0	0
”¢3-4-A5	201307	12.5	82.11 	10.48 	1.7840 	0.0082 	0.0010 	0.0002 	1.33	0	0	0
”¢3-4-B1	201307	12.5	226.37 	8.21 	1.8818 	0.0226 	0.0008 	0.0002 	1.39	0	0	0
”¢3-4-B2	201307	8.38	80.58 	11.33 	1.1324 	0.0081 	0.0011 	0.0001 	1.37	0	0	0
”¢3-4-B3	201307	9.5	190.39 	15.00 	2.8142 	0.0190 	0.0015 	0.0003 	1.17	0	0	0
”¢3-4-B4	201307	12.5	143.78 	9.01 	1.5356 	0.0144 	0.0009 	0.0002 	1.13	0	0	0
”¢3-8-A5	201307	5.69	19.33 	3.66 	0.5036 	0.0019 	0.0004 	0.0001 	1.32	0	0	0
”¢5-1-B2	201307	0	0.00 	0.00 	0.0000 	0.0003 	0.0125 	0.0001 	0	0	0	0
”¢5-1-B3	201307	0	0.00 	0.00 	0.0000 	0.0614 	0.0015 	0.0004 	0	0	0	0
”¢5-1-B5	201307	14.33	220.35 	2.22 	2.4364 	0.0602 	0.0025 	0.0009 	0.96	0	0	0
”¢5-1-B6	201307	19.6	166.29 	8.76 	5.5891 	0.0582 	0.0030 	0.0010 	0.86	0	0	0
”¢5-3-B5	201307	0	0.00 	0.00 	0.0000 	0.0023 	0.0000 	0.0002 	0	0	0	0
”¢5-3-B6	201307	0	0.00 	0.00 	0.0000 	0.0000 	0.0000 	0.0000 	0	0	0	0
”¢5-5-B6	201307	21.44	40.68 	3.84 	2.9132 	0.0041 	0.0004 	0.0003 	1.03	0	0	0
”¢5-8-A3	201307	22.17	419.81 	52.24 	2.4621 	0.1976 	0.0099 	0.0006 	1.38	1.8	0	0
”¢5-8-A4	201307	17.58	40.64 	371.73 	2.8023 	0.1122 	0.0416 	0.0013 	1.48	0	0	0
”¢7-1-B3	201307	30.94	388.16 	14.30 	5.1664 	0.1276 	0.0031 	0.0022 	0.88	0	0	0
”¢7-1-B5	201307	30.94	348.65 	4.11 	4.9871 	0.1168 	0.0021 	0.0019 	0.89	0	0	0
”¢7-1-B6	201307	30.83	233.55 	5.66 	27.3920 	0.1186 	0.0027 	0.0050 	2.2	0.97	0	0
”¢7-3-B5	201307	8.5	44.42 	4.98 	3.1060 	0.0044 	0.0005 	0.0003 	0.77	0.93	0	0
”¢7-3-B6	201307	7.83	45.31 	9.24 	1.4324 	0.0045 	0.0009 	0.0001 	3.71	0	0	0
”¢7-6-A3	201307	30.44	336.71 	8.18 	4.7421 	0.0473 	0.0019 	0.0007 	1.05	0	0	0
”¢7-6-A4	201307	0	0.00 	0.00 	0.0000 	0.0026 	0.0005 	0.0000 	0	0	0	0
”¢7-6-A5	201307	30.44	209.13 	7.49 	3.6747 	0.0346 	0.0025 	0.0006 	1.03	0	0	0
”¢7-6-B1	201307	30.23	562.94 	38.20 	4.6703 	0.0884 	0.0059 	0.0007 	1.06	0	0	0
”¢7-6-B2	201307	28.29	452.21 	30.63 	3.5138 	0.0702 	0.0039 	0.0005 	0.98	0	0	0
”¢7-6-B3	201307	27.69	33.47 	1.20 	3.3430 	0.0082 	0.0009 	0.0005 	0.95	0	0	0
”¢7-8-A4	201307	30.79	211.37 	5.14 	4.0064 	0.0776 	0.0039 	0.0011 	0.42	0	0	0
”¢9-1-B3	201307	30.94	210.66 	174.10 	4.3561 	0.0505 	0.0243 	0.0009 	0.93	0	0	0
”¢9-1-B4	201307	30.94	294.97 	12.57 	4.0947 	0.0745 	0.0025 	0.0009 	0.9	0	0	0
”¢9-1-B5	201307	30.94	231.21 	13.44 	5.4179 	0.0511 	0.0022 	0.0010 	0.92	0	0	0
”¢9-1-B6	201307	30.94	187.02 	32.67 	4.7052 	0.0419 	0.0055 	0.0009 	0.91	0	0	0
”¢9-2-A6	201307	30.71	216.34 	7.47 	3.1918 	0.0548 	0.0017 	0.0007 	0.7	0	0	0
”¢9-2-B2	201307	30.81	352.61 	23.87 	3.3732 	0.0692 	0.0035 	0.0007 	0.36	0	0	0
”¢9-2-B3	201307	28.48	274.67 	25.46 	3.2584 	0.0586 	0.0039 	0.0006 	0.41	0	0	0
”¢9-2-B4	201307	30.75	332.52 	12.66 	4.4277 	0.0707 	0.0026 	0.0008 	4.01	0.44	0	0
”¢9-2-B5	201307	19	216.12 	8.47 	2.3844 	0.0744 	0.0027 	0.0007 	0.43	0	0	0
”¢9-3-B5	201307	30.63	32.37 	0.74 	3.1573 	0.0095 	0.0006 	0.0011 	0.39	0	0	0
”¢9-3-B6	201307	30.63	149.38 	3.62 	5.1565 	0.0465 	0.0013 	0.0016 	1.71	1.08	0	0
”¢∂´102	201307	0	0.00 	0.00 	0.0000 	0.2261	0.0273	8.5824	0	0	0	0
”¢∂´104	201307	4.33	1.29 	0.02 	0.0383 	0.0069 	0.0200 	0.0006 	0.3	0	0	0
”¢∂´105	201307	25.96	349.93 	15.25 	4.4005 	0.5418	0.0272	54.4840	6.04	2.19	0	0
”¢∂´107	201307	0	0.00 	0.00 	0.0000 	0.0675 	0.0102 	0.0005 	0	0	0	0
”¢∂´108	201307	30.71	439.18 	100.18 	4.1636 	0.0524 	0.0353 	0.0009 	0.44	0	0	0
”¢∂´113	201307	11.71	60.57 	40.42 	1.0758 	0.0238 	0.0065 	0.0007 	0.31	0	0	0
”¢∂´114	201307	1.96	1.12 	0.04 	0.0200 	0.0107 	0.0423 	0.0011 	0.2	0	0	0
”¢∂´116	201307	0	0.00 	0.00 	0.0000 	0.0758 	0.0065 	0.0010 	0	0	0	0
”¢∂´117	201307	0	0.00 	0.00 	0.0000 	0.1035 	0.0053 	0.0015 	0	0	0	0
”¢∂´119	201307	8.33	170.33 	17.37 	1.3624 	0.0170 	0.0017 	0.0001 	0.96	0	0	0
”¢ ‘1-1	201307	30.94	57.64 	52.37 	3.5247 	0.0986	0.0546	56.0793	0.63	0	0	0
”¢ ‘1-2	201307	30.94	140.49 	11.85 	3.2677 	0.2788	0.0445	86.7457	0.61	0	0	0
”¢ ‘1-3	201307	29.85	146.17 	24.01 	3.2725 	0.4315	0.0352	67.3310	0.61	0	0	0
”¢ ‘1-4	201307	30.94	66.41 	97.48 	3.5072 	0.3425	0.1161	72.2387	0.61	0	0	0
”¢ ‘11-1	201307	0	0.00 	0.00 	0.0000 	0.4738 	0.0131 	50.8604 	0	0	0	0
”¢ ‘12-1	201307	1.71	13.10 	5.34 	0.1978 	0.2212	0.0096	28.6640	1.25	0	0	0
”¢ ‘13-1	201307	30.94	307.99 	15.27 	4.5462 	0.2517	0.0099	51.9863	0.95	0	0	0
”¢ ‘14-1	201307	2	1.07 	0.03 	0.0218 	0.0163 	0.0073 	0.0060 	0.7	0	0	0
”¢ ‘15-1	201307	7.67	53.04 	7.80 	0.8474 	0.1025	0.0087	65.0078	0.84	0	0	0
”¢ ‘2-1	201307	0	0.00 	0.00 	0.0000 	0.1147 	0.0236 	42.0994 	0	0	0	0
”¢ ‘2-2	201307	2	1.05 	0.14 	0.1359 	0.1130	0.0236	40.4017	0.5	0	0	0
”¢ ‘2-3	201307	0	0.00 	0.00 	0.0000 	0.0045 	0.0050 	0.0028 	0	0	0	0
”¢ ‘2-4	201307	30.81	357.34 	39.57 	10.0497 	0.3674	0.0301	96.9451	3.62	1.32	0	0
”¢ ‘2-5	201307	0	0.00 	0.00 	0.0000 	0.0106 	0.0079 	43.5245 	0	0	0	0
”¢ ‘3-1	201307	3	1.02 	0.02 	0.0400 	0.0056 	0.0019 	38.1669 	0.37	0	0	0
”¢ ‘4-3	201307	3	2.02 	3.60 	0.0600 	0.4007	0.1905	47.7498	0.2	0	0	0
”¢ ‘6-1	201307	2	0.00	0.00	0.0000 	0.0034 	0.0265 	0.0001 	0.5	0	0	0
”¢ ‘8-1	201307	0	0.00 	0.00 	0.0000 	0.4139 	0.0147 	0.0077 	0	0	0	0
”¢ ‘9-1	201307	30.81	280.00 	15.35 	15.8661 	0.4244	0.0243	244.6069	1.42	0	0	0
…∞37	201308	31.00	225.66	5.45	3.0877 	0.1892	0.0631	0.0097	0.73	0.00	0.00	0.00
…∞41	201308	4.00	1.41	67.88	0.0540 	0.0009	0.0203	0.00023100	0.30	0.00	0.00	0.00
”¢1-1-B2	201308	0.00	0.00	0.00	0.0000 	0.0158	0.0003	0.00043800	0.00	0.00	0.00	0.00
”¢1-1-B3	201308	0.00	0.00	0.00	0.0000 	0.0950	0.0055	0.00175000	0.00	0.00	0.00	0.00
”¢1-1-B5	201308	0.00	0.00	0.00	0.0000 	0.0809	0.0094	0.00333500	0.00	0.00	0.00	0.00
”¢1-2-B1	201308	30.83	548.93	41.00	4.0462 	0.0613	0.0059	0.00047700	1.12	0.00	0.00	0.00
”¢1-2-B2	201308	30.83	455.43	35.51	3.6785 	0.0497	0.0040	0.00044300	1.07	0.00	0.00	0.00
”¢1-2-B3	201308	30.83	526.70	21.69	6.9052 	0.0664	0.0032	0.00081900	1.30	0.00	0.00	0.00
”¢1-2-B4	201308	23.08	181.66	8.40	12.5020 	0.0297	0.0016	0.00156000	1.38	0.00	0.00	0.00
”¢1-2-B5	201308	30.83	152.06	10.11	3.2984 	0.0201	0.0020	0.00039200	0.88	0.00	0.00	0.00
”¢1-6-A3	201308	30.92	504.60	43.13	5.6691 	0.0918	0.0054	0.00102900	1.34	0.00	0.00	0.00
”¢1-6-A4	201308	31.00	46.11	1.84	5.1340 	0.0071	0.0007	0.00106800	1.10	0.00	0.00	0.00
”¢1-6-A5	201308	0.00	0.00	0.00	0.0000 	0.0001	0.0002	0.00064700	0.00	0.00	0.00	0.00
”¢1-6-B1	201308	31.00	359.93	22.89	5.6652 	0.0664	0.0036	0.00091600	1.23	0.00	0.00	0.00
”¢1-6-B2	201308	30.58	300.18	8.02	4.1810 	0.0504	0.0035	0.00073600	2.64	1.47	0.00	0.00
”¢1-6-B3	201308	31.00	512.74	14.75	7.1831 	0.0934	0.0030	0.00131900	3.56	1.41	0.00	0.00
”¢11-1-B5	201308	22.08	155.29	2.97	2.5913 	0.0278	0.0012	0.00046000	0.55	0.00	0.00	0.00
”¢11-1-B6	201308	30.58	187.39	10.61	4.3550 	0.0280	0.0032	0.00065600	0.71	0.00	0.00	0.00
”¢11-2	201308	31.00	132.77	4.55	3.0102 	0.0776	0.0057	0.00145100	0.58	0.00	0.00	0.00
”¢11-2-B4	201308	26.94	26.81	0.92	2.2038 	0.0297	0.0013	0.00112900	0.47	0.00	0.00	0.00
”¢11-3-B6	201308	14.88	285.07	24.11	3.2588 	0.0285	0.0024	0.00032600	4.91	1.62	0.00	0.00
”¢11-4-A5	201308	10.63	94.61	18.63	1.3449 	0.0095	0.0019	0.00013400	1.04	0.00	0.00	0.00
”¢11-4-A6	201308	9.33	23.63	6.69	1.1118 	0.0024	0.0007	0.00011100	1.03	0.00	0.00	0.00
”¢11-4-B1	201308	10.63	143.35	22.22	1.1295 	0.0143	0.0022	0.00011300	1.00	0.00	0.00	0.00
”¢11-4-B4	201308	10.63	118.02	47.28	1.1916 	0.0118	0.0047	0.00011900	0.99	0.00	0.00	0.00
”¢11-6-A1	201308	30.90	527.30	21.44	3.5550 	0.1772	0.0053	0.00149000	0.65	0.00	0.00	0.00
”¢11-6-A4	201308	28.54	503.67	18.18	4.0773 	0.1803	0.0045	0.00157400	0.69	0.00	0.00	0.00
”¢11-6-A6	201308	30.90	255.66	10.31	3.8564 	0.1505	0.0032	0.00152300	0.55	0.00	0.00	0.00
”¢11-8	201308	12.58	133.51	24.84	1.3240 	0.0134	0.0025	0.00013200	1.13	0.00	0.00	0.00
